 lokasi, alamat_kantor,kode_pos,telepon,fax,latitude,longitude
PTSP Kelurahan Ciganjur,"Jl. Anda No. 1B, Ciganjur",12630,,,-6.3381781,106.8105358
PTSP Kelurahan Srengseng Sawah,"Jl. Raya Srengseng Sawah RT008/RW003 No. 8, Srengseng Sawah",12640,021 78883584,,-6.3452251,106.8310292
PTSP Kelurahan Cipedak,"Jl. Pinding No. 1, Cipedak",12630,021 7271110,,-6.3449399,106.8026206
PTSP KECAMATAN MAMPANG,"Jl. Mampang Prapatan No. 13, Mampang",,,,-6.252015,106.824338
PTSP Kelurahan Kuningan Barat,"Jl. Kuningan Barat 1 RT004/RW001, Kuningan Barat",12710,021 5256717,021 5256717,-6.239803,106.820397
PTSP Kelurahan Pela Mampang,"Jl. Bangka X Ujung RT004/RW007, Pela Mampang",12720,021 7182380,,-6.252964,106.811304
PTSP Kelurahan Bangka,"Jl. Kemang Timur I No. 1, Bangka",12730,021  7990012,021 7990012,-6.25909,106.8259
PTSP Kelurahan Tegal Parang,"Jl. Tegal Parang Selatan V RT008/RW004, Tegal Parang ",12790,021 797 4974,021 797 4974,-6.250228,106.8333267
PTSP Kelurahan Mampang Prapatan,"Jl. Mampang Prapatan IV Gg. M RT008/RW005, Mampang Prapatan",12970,021 7991338,021 7991338,-6.2455343,106.8262408
PTSP KECAMATAN PANCORAN,"Jl. Pengadegan Timur II No. 2, Kalibata",,,,-6.24899593,106.8595339
PTSP Kelurahan Kalibata,"Jl. Raya Empang Tiga No. 51, Kalibata",12740,021 7995563,021 7995563,-6.262322,106.847101
PTSP Kelurahan Rawa Jati,"Jl. Rawajati Barat RT006/RW004, Rawajati",12750,021 7996204,021 7902273,-6.260178,106.8527
PTSP Kelurahan Duren Tiga,"Jl. Duren Tiga No. 17, Duren Tiga",12760,021 7912718,,-6.2541413,106.8346127
PTSP Kelurahan Cikoko,"Jl. Cikoko Barat III No. 45, Cikoko",12270,021 7989753,021 7902271,-6.2463217,106.8505873
PTSP Kelurahan Pengadegan,"Jl. Pengadegan Timur I, Pengadegan",12270,,,-6.250873,106.861188
PTSP Kelurahan Pancoran,"Jl. Pancoran Barat III No. 55, Pancoran",12780,021 7994107,021 7994107,-6.24873,106.840871
PTSP KECAMATAN TEBET,"Jl. Prof. Dr. Supomo SH, Tebet Barat",,,,-6.2315433,106.845882
PTSP KelurahanTebet Barat,"Jl. Tebet Barat IV No. 1, Tebet Barat",12810,021 8304060,,-6.2330495,106.8462838
PTSP Kelurahan Tebet Timur,"Jl. Tebet Timur Dalam III M No. 15, Tebet Timur",12820,021 83787297,021 83787297,-6.225208,106.851443
PTSP Kelurahan Kebon Baru,"Jl. Asem Baris Raya No. 101, Kebon Baru",12830,021 8294447,,-6.232357,106.8569288
PTSP Kelurahan Bukit Duri,"Jl. Kampung Melayu Kecil III No. 12, Bukit Duri",12840,021  8305311,021  8305311,-6.224337,106.861257
PTSP Kelurahan Manggarai,"Jl. Lap. Menara Air II RT007/RW011, Manggarai (Tahap Renovasi Total)
Jl. Dr. Saharjo No. 63 RT015/RW008, Manggarai (Kantor Sementara) ",12850,021 8305006,021 8319677,-6.213719,106.844898
PTSP Kelurahan Manggarai Selatan,Jl. Rambutan No. IV D Kec. Tebet,12860,021 8303560,021 8303560,-6.217874,106.847087
PTSP Kelurahan Menteng Dalam,"Jl. Rasamala 3 No. 4, Menteng Dalam",12879,021 8292421,021 8319681,-6.234568,106.837196
PTSP KECAMATAN SETIA BUDI,"Jl. Setiabudi Barat 8K, Setiabudi",12910,021 94343011,,-6.2087227,106.8237905
PTSP Kelurahan Setiabudi,"Jl. Setiabudi Barat No. 8, Setiabudi",,,,-6.208302,106.823896
PTSP Kelurahan Karet,"Jl. Karet Karya 1, Kecamatan Setiabudi,",12920,021 5254628,021 5254628,-6.210832,106.826
PTSP Kelurahan Karet Semanggi,"Jl. KH. Guru Mughni No. 1, Karet Semanggi",12930,021 29306210,021 29306210,-6.225314,106.821229
PTSP Kelurahan Karet Kuningan,"Jl. Anggrek IV No. 1 RT006/RW002, Karet Kuningan",12940,021 5273653,021 5273653,-6.218834,106.824913
PTSP Kelurahan Kuningan Timur,Jl. Mega Kuningan Barat III No. 1,12950,,021 5253868,-6.23173,106.8238113
PTSP Kelurahan Menteng Atas,"Jl. Menteng Pulo, Menteng Atas",,,,-6.221994,106.838517
PTSP Kelurahan Pasar Manggis,"Jl. Menteng Wadas Timur/Bogor Lama No. 121, Pasar Manggis",12970,021 8319683,021 8319683,-6209730,106.842047
PTSP Kelurahan Guntur,"Jl. Perahu No. 2, Guntur",12980,021 8319684,021 8319684,-6.2070508,106.8337793
 PTSP KOTA ADMINISTRASI JAKARTA TIMUR,"Jl. Sentra Timur, Pulo Gebang, Cakung",,,,-6.12458,-106.56363
PTSP KECAMATAN MATRAMAN,Jl. Balai Rakyat Utan Kaya Utara,,,,-6.197584,106.869083
PTSP Kelurahan Pisangan Baru,Jl. Pisangan Baru Utara,13110,021 8505372,,-6.209269,106.871159
PTSP Kelurahan Utan Kayu Selatan,"Jl. Galur Sari Timur No. 1, Utan Kayu Selatan",13121,021 8563330,,-6.200649,106.868718
PTSP Kelurahan Utan Kayu Utara,"Jl. Kemuning No. 42, Utan Kayu Utara",13120,021 8505154,021 8516162,-6.1981852,106.8651331
PTSP Kelurahan Kayu Manis,"Jl. Kayumanis VIII No 32, Kec. Matraman, Jakarta Timur",13130,021 8516062,,-6.2062359,106.8627264
PTSP Kelurahan Pal Meriam,"Jl. Kayu Manis I Lama, Palmeriam",13140,021 8517166,,-6.207106,106.861511
PTSP Kelurahan Kebon Manggis,"Jl. Kebon Manggis 1 No. 1, Kebon Manggis",13150,"021 29360499, 021 8565567",021 8565567,-6.205584,106.855634
PTSP KECAMATAN PULO GADUNG,"Jl. Raya Bekasi Km.18, Kel. Jatinegara Kaum, Kec. Pulogadung, Jakarta Timur ",13250,0812 87300057 (sms),,-6.198453,106.9047
PTSP Kelurahan Kayu Putih,"Jl. Genteng No. 2, Kayu Putih",13210,021 4894412,021 4754769,-6.1859468,106.8873675
PTSP Kelurahan Jati,"Jl. Perhubungan Raya No. 79C, Jati",13220,021 47869719,021 47869719,-6.1992587,106.9002253
PTSP Kelurahan Rawamangun,Jl. Rawamangun Muka Barat No. 3,13221,021 4722029,,-6.19895,106.880843
PTSP Kelurahan Pisangan Timur,"Jl. H. Mugeni II No. 2, Pisangan Timur",13230,021 4754762,,-6.2084796,106.8770059
PTSP Kelurahan Cipinang,"Jl. Cipinang Empang No. 1 RT004/RW015, Cipinang",13240,021 4891817,021 4754869,-6.2088277,106.8951428
PTSP Kelurahan Jatinegara Kaum,"Jl. TB Badarudin Tanah Koja, Jatinegara Kaum",13250,021 4751119 ,021 4754764,-6.2102702,106.8957819
PTSP Kelurahan Pulo Gadung,"Jl. Kayu Putih IV, Pulogadung Jakarta Timur ",13270,,,-6.185902,106.893812
PTSP KECAMATAN JATINEGARA,"Jl. DI Panjaitan, Jatinegara",,,,-6.228328,106.874506
PTSP Kelurahan Bali Mester,"Jl. Jatinegara Barat II No. 19, Balimester",13310,021 8191162,021 8191162,-6.220217,106.8667
PTSP Kelurahan Kampung Melayu,"Jl. Kebon Pala I No. 32, Kampung Melayu",13320,021 8192534 ,021 8192534,-6.2145477,106.8597636
PTSP Kelurahan Bidaracina,Jl. Tanjung Lengkong,13330,,,-6.239937,106.86741
PTSP Kelurahan Cipinang Cempedak,"Jl. Panti Asuhan, Cipinang Cempedak Jakarta Timur",13340,021 8194853,,-6.2283708,106.8742068
PTSP Kelurahan Rawa Bunga,"Jl. Jatinegara Timur IV, Rawa Bunga",13350,021 8192468,021 8516060,-6.221718,106.869786
PTSP Kelurahan Cipinang Besar Utara,Jl. Swadaya II,13410,,,-6.217444,106.88226
PTSP Kelurahan Cipinang Besar Selatan,Jl. Cipinang Jaya GG Ujung,13410,021 8191146,,-6.2243522,106.8831864
PTSP Kelurahan Cipinang Muara,"Jl. Cipinang Muara Raya No. 1, Cipinang Muara",13420,021 8191284,021 8516058,-6.2274276,106.8865439
PTSP KECAMATAN DUREN SAWIT,Jl. Swadaya 8 No. 1,,,,-6.233069,106.918093
PTSP Kelurahan Pondok Bambu,"Jl. Pahlawan Revolusi No. 147, Pondok Bambu",13430,021 8615784,021 8631963,-6.235352,106.89553
PTSP Kelurahan Duren Sawit,"Jl. Kelurahan Raya No. 1, Duren Sawit",13440,021 8615183,021 8615183,-6.2308677,106.914467
PTSP Kelurahan Pondok Kelapa,"Jl. H. Dogon Timur I/32, Pondok Kelapa Jakarta Timur",13450,021 8645513,021 8645513,-6.240044,106.93498
PTSP Kelurahan Pondok Kopi,"Jl. Arabika III Blok W7, Pondok Kopi",13460,021 8614772,021 8631961,-6.229348,106.944539
PTSP Kelurahan Malaka Jaya,"Jl. Teratai Putih Raya No. 1, Malaka Jaya",13460,021 8631964,021 8631964,-6.2222756,106.9325496
PTSP Kelurahan Malaka Sari,Jl. Raya Malaka No. 122,13460,021 8614774,,-6.2273477,106.9257799
PTSP Kelurahan Klender,"Jl. Bulak Timur I No. 12, Klender",13470,021 8614773,021 8631962,-6.216766,106.9082193
PTSP KECAMATAN KRAMAT JATI,"Jl. Raya Bogor Km. 20, Kramat Jati",13510,021 8009165,021 8092783,-6.284972,106.871602
PTSP Kelurahan Kramat Jati,"Jl. Kerja Bakti No. 32, Kramatjati",13510,021 8007033,021 8007033,-6.2774196,106.869678
PTSP Kelurahan Batu Ampar,Jl. Batu Ampar II RT006/RW003,15320,021 8098060,021 8005609,-6.2829306,106.8588353
PTSP Kelurahan Balekambang,Jl. Gardu Kober RT009/RW002,13530,021 8096875,,-6.2815606,106.8503887
PTSP Kelurahan Tengah,Jl. Mesjid Albariyah RT009/RW004,13540,"021 840 0647, 0856 94171718",,-6.290214,106.864666
PTSP Kelurahan Dukuh,"Jl. Dukuh V RT007/RW002, Tengah ",13550,021 8407689,021 8407689,-6.2922062,106.877065
PTSP Kelurahan Cawang,"Jl. Jaani Nasir No. 7, Cawang",13630,021 8092643,021 8092643,-6.251119,106.8686977
PTSP Kelurahan Cililitan,"Jl. Mandala V Gg. Ali Sarbi II, Kel.Cililitan Kec.Kramat Jati, Jakarta Timur",13640,021 8090825,021 8090825,-6.2604727,106.8701826
PTSP KECAMATAN MAKASAR,"Jl. Lembur No. 1, Makasar",,,,-6.279262,106.87839
PTSP Kelurahan Pinang Ranti,"Jl. SMA 48, Pinang Ranti",13560,021 8001403,021 8001403,-6.28769,106.8815
PTSP Kelurahan Makasar,"Jl. Pinang Ranti Timur No. 44, Makasar, Jakarta Timur (Sementara)",13570,0812 81194279,,-6.280396,106.876506
PTSP Kelurahan Halim Perdanakusuma,"Jl. Squadron No. 1A, Halim PK",13610,021 8093744,021 8093744,-6.2679326,106.8783924
PTSP Kelurahan Cipinang Melayu,"Jl. Inspeksi Tarum Barat No. 1, Cipinang Melayu",13620,021 86608247,021 86608247,-6.2446092,106.8987644
PTSP Kelurahan Kebon Pala,"Jl.Cipinang Asem RT011/RW004, Kebon Pala",13650,021 8006059,021 8007677,-6.256637,106.87792
PTSP KECAMATAN PASAR REBO,"Jl. Raya Bogor Km. 27, Pasar Rebo",13710,021 8711217,,-6.339773,106.869906
PTSP Kelurahan Pekayon,"Jl. Madrasah RT003/RW009, Pekayon",13710,021 8719018,021 8727634,-6.3416226,106.8605161
PTSP Kelurahan Gedong,"Jl. H. Taiman No. 20, Gedong",13760,021 8400035,021 8400035,-6.301435,106.866007
PTSP Kelurahan Cijantung,"Jl. Raya Gongseng No. 88 RT001/RW010, Cijantung",13740,,,-6.324887,106.862037
PTSP Kelurahan Baru,"Jl. Puskesmas RT008/RW001, Baru",13780,021 8416450,,-6.323494,106.85109
PTSP Kelurahan Kalisari,"Jl. Kalisari Raya RT011/RW002, Kel. Kalisari, Pasar Rebo, Jakarta Timur",13790,021 8407689,021 8710995,-6.3371503,106.855826
PTSP KECAMATAN CIRACAS,"Jl. Asem No. 7A RT003/RW004, Ciracas",13740,021 29616724,021 29616724,-6.3314938,106.8858951
PTSP Kelurahan Cibubur,"Jl. Raya Lapangan Tembak No. 1 RT005/RW002, Cibubur",13720,021 8710994,021 8710994,-6.34999,106.876567
PTSP Kelurahan Kelapa Dua Wetan,Jl. Raya PKP,13730,021 8705270,,-6.338733,106.88229
PTSP Kelurahan Ciracas,Jl.  Raya Ciracas No. 4,13740,021 8710996,,-6.3285167,106.8776661
PTSP Kelurahan Susukan,"Jl. H. Baping No. 20 RT010/RW006, Susukan",13750,021 8400134,021 8400134,-6.3127241,106.8747755
PTSP Kelurahan Rambutan,"Jl. Gudang Air No. 36 RT005/RW002, Rambutan",13830,"021 87790004, 021 87790008",021 87790008,-6.30189,106.87206
 PTSP KECAMATAN CIPAYUNG,"Jl. Bina Marga No. 2, Cipayung",13840,021 8444659,021 8444636,-6.328763,106.888426
PTSP Kelurahan Lubang Buaya,"Jl. SPG 7, Cipayung, Jakarta Timur",13810,021 8411734,,-6.2892118,106.9041351
PTSP Kelurahan Ceger,"Jl. SMPN 160 RT002/RW005, Ceger",13820,021 8444971,021 8444971,-6.3145654,106.8895349
PTSP Kelurahan Cipayung,"Jl. Bambu Hitam No. 103 RT010/RW004, Cipayung, Cipayung, Jakarta Timur",13840,021 84303987,,-6.324642,106.899316
PTSP Kelurahan Munjul,"Jl. Buni No. 1, Munjul",13850,021 8451676,,-6.3486711,106.8942963
PTSP Kelurahan Pondok Ranggon,"Jl. Pondok Ranggon Raya No. 1, Pondok Ranggon",13860,021 8444085,,-6.3477426,106.9143519
PTSP Kelurahan Cilangkap,"Jl. As-Syafiiyah No. 1, Cilangkap",13870,021 84596168,021 84596168,-6.333802,106.903133
PTSP Kelurahan Setu,"Jl. Raya Setu RT005/RW001, Setu",13880,021 8465328,,-6.3094,106.9127448
PTSP Kelurahan Bambu Apus,"Jl. Mini III, Bambu Apus, Cipayung, Jakarta timur",13890,021 84976879 ,,-6.3058289,106.9071107
PTSP KECAMATAN CAKUNG,"Jl. Raya Bekasi Km. 23, Cakung Barat, Cakung, Jakarta Timur",13950,0813 15777960,,-6.18442,106.939999
PTSP Kelurahan Cakung Barat,"Kel. Cakung Barat Kec. Cakung, Jakarta Timur",13910,021 4601748,021 4601748,-6.173764,106.933566
PTSP Kelurahan Cakung Timur,"Jl. Irigasi Gempol, Cakung Timur",13910,021 4600915,021 4600915,-6.1834245,106.9575879
PTSP Kelurahan Rawa Terate,Jl. DR KRTRadjiman Widyodiningrat,13920,021 4602445,021 4602445,-6.1853403,106.9216964
PTSP Kelurahan Jatinegara,"Jl. Raya Bekasi Km. 18, Jatinegara",13930,021 4606231,021 4606231,-6.1977153,106.9053096
PTSP Kelurahan Penggilingan,"Jl. Komplek PIK Penggilingan, Penggilingan",13940,021 4600927,021 4618713,-6.202838,106.931087
PTSP Kelurahan Pulogebang,"Jl. Raya Pulo Gebang No. 4 RT006/RW003, Pulogebang",13950,021 48700917,021 48700917,-6.21601,106.95448
PTSP Kelurahan Ujung Menteng,"Jl. Raya Bekasi Km. 26, Ujung Menteng Jakarta Timur",13960,021 4618710,,-6.1865472,106.9629561
 PTSP KABUPATEN KEPULAUAN SERIBU,Pulau Pramuka,14450,,,-5.74618,106.613625
PTSP KECAMATAN KEPULAUAN SERIBU UTARA,Pulau Kelapa,14540,,,-5.654803,106.567983
PTSP Kelurahan Pulau Kelapa,Pulau Kelapa,14540,,,-5.654803,106.567983
PTSP Kelurahan Pulau Harapan,Pulau Harapan,14540,,,-5.652579,106.577102
PTSP Kelurahan Pulau Untung Jawa,"Jl. Bougenvile No.1 RT001/RW002, Pulau Untung Jawa",14510,,,-5.977426,106.707243
PTSP KECAMATAN KEPULAUAN SERIBU SELATAN,Pulau Tidung,14520,,,-5.796656,106.495786
PTSP Kelurahan Pulau Tidung,Pulau Tidung,14520,,,-5.796656,106.495786
PTSP Kelurahan Pulau Pari,Pulau Pari,14520,,,-5.857534,106.618079
PTSP Kelurahan Pulau Panggang,Pulau Panggang,14530,,,-5.738756,106.600395
